[2022-06-23T14:08:58.017] [INFO] info - get params:{}
[2022-06-23T14:08:58.017] [INFO] info - post params:{}
[2022-06-23T14:08:58.053] [INFO] info - get params:{}
[2022-06-23T14:08:58.054] [INFO] info - post params:{}
[2022-06-23T14:08:58.058] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:08:58.058] [INFO] info - post params:{}
[2022-06-23T14:10:21.064] [INFO] info - get params:{}
[2022-06-23T14:10:21.065] [INFO] info - post params:{}
[2022-06-23T14:10:21.068] [INFO] info - get params:{}
[2022-06-23T14:10:21.069] [INFO] info - post params:{}
[2022-06-23T14:10:21.074] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:10:21.075] [INFO] info - post params:{}
[2022-06-23T14:10:28.596] [INFO] info - get params:{}
[2022-06-23T14:10:28.596] [INFO] info - post params:{"_id":{"__v_isShallow":false,"__v_isRef":true,"_rawValue":"62b057df26fbc4ba1d1fe3d0","_value":"62b057df26fbc4ba1d1fe3d0"},"permissionList":{"checkedKeys":["60e11a99b993003378ab308b","60e11aa9b993003378ab308e","60e11ab7b993003378ab3091","60e11ac2b993003378ab3094"],"halfCheckedKeys":["60e11a8fb993003378ab3088","60e11a03b993003378ab3073"]}}
[2022-06-23T14:11:14.217] [INFO] info - get params:{}
[2022-06-23T14:11:14.218] [INFO] info - post params:{}
[2022-06-23T14:11:14.252] [INFO] info - get params:{}
[2022-06-23T14:11:14.253] [INFO] info - post params:{}
[2022-06-23T14:11:14.257] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:11:14.258] [INFO] info - post params:{}
[2022-06-23T14:11:22.488] [INFO] info - ***数据库连接成功***
[2022-06-23T14:11:31.669] [INFO] info - ***数据库连接成功***
[2022-06-23T14:11:33.608] [INFO] info - get params:{}
[2022-06-23T14:11:33.610] [INFO] info - post params:{}
[2022-06-23T14:11:33.628] [INFO] info - get params:{}
[2022-06-23T14:11:33.629] [INFO] info - post params:{}
[2022-06-23T14:11:33.635] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:11:33.636] [INFO] info - post params:{}
[2022-06-23T14:11:41.422] [INFO] info - get params:{}
[2022-06-23T14:11:41.423] [INFO] info - post params:{"_id":{"__v_isShallow":false,"__v_isRef":true,"_rawValue":"62b057df26fbc4ba1d1fe3d0","_value":"62b057df26fbc4ba1d1fe3d0"},"permissionList":{"checkedKeys":["60e11ac2b993003378ab3094"],"halfCheckedKeys":["60e11a03b993003378ab3073","60e11a8fb993003378ab3088"]}}
[2022-06-23T14:15:09.550] [INFO] info - get params:{}
[2022-06-23T14:15:09.551] [INFO] info - post params:{}
[2022-06-23T14:15:09.557] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:15:09.558] [INFO] info - post params:{}
[2022-06-23T14:15:16.743] [INFO] info - get params:{}
[2022-06-23T14:15:16.744] [INFO] info - post params:{}
[2022-06-23T14:15:16.786] [INFO] info - get params:{}
[2022-06-23T14:15:16.787] [INFO] info - post params:{}
[2022-06-23T14:15:16.791] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:15:16.792] [INFO] info - post params:{}
[2022-06-23T14:15:22.813] [INFO] info - get params:{}
[2022-06-23T14:15:22.813] [INFO] info - post params:{"_id":"62b057df26fbc4ba1d1fe3d0","permissionList":{"checkedKeys":["60e11a99b993003378ab308b","60e11aa9b993003378ab308e","60e11ab7b993003378ab3091","60e11ac2b993003378ab3094"],"halfCheckedKeys":["60e11a8fb993003378ab3088","60e11a03b993003378ab3073"]}}
[2022-06-23T14:15:22.846] [INFO] info - get params:{"roleName":"","total":"2","pageSize":"10"}
[2022-06-23T14:15:22.847] [INFO] info - post params:{}
[2022-06-23T14:15:26.196] [INFO] info - get params:{}
[2022-06-23T14:15:26.196] [INFO] info - post params:{}
[2022-06-23T14:15:26.203] [INFO] info - get params:{}
[2022-06-23T14:15:26.203] [INFO] info - post params:{}
[2022-06-23T14:15:26.207] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:15:26.208] [INFO] info - post params:{}
[2022-06-23T14:15:40.943] [INFO] info - get params:{}
[2022-06-23T14:15:40.943] [INFO] info - post params:{}
[2022-06-23T14:15:40.979] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T14:15:40.980] [INFO] info - post params:{}
[2022-06-23T15:55:10.700] [INFO] info - get params:{}
[2022-06-23T15:55:10.701] [INFO] info - post params:{}
[2022-06-23T15:55:10.705] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T15:55:10.705] [INFO] info - post params:{}
[2022-06-23T15:55:25.893] [INFO] info - get params:{}
[2022-06-23T15:55:25.894] [INFO] info - post params:{}
[2022-06-23T15:55:25.897] [INFO] info - get params:{}
[2022-06-23T15:55:25.898] [INFO] info - post params:{}
[2022-06-23T15:55:25.902] [INFO] info - get params:{"roleName":"","total":"0","pageSize":"10"}
[2022-06-23T15:55:25.903] [INFO] info - post params:{}
[2022-06-23T15:55:54.514] [INFO] info - get params:{}
[2022-06-23T15:55:54.514] [INFO] info - post params:{}
